AT1G08910.1	A0A0A7EPL0-2
AXX17_At4g44420	A0A178V1G3
AXX17_At4g19270	A0A178V1G4
AXX17_At4g21220	A0A178V1G6
AXX17_At4g21220	A0A178V1G6
AXX17_At4g29780	A0A178V1G7
AXX17_At4g24210	A0A178V1G9
AXX17_At4g24210	A0A178V1G9
AT4G28630.1	A0A178V1H0
AXX17_At4g16870	A0A178V1H1
AXX17_At4g32470	A0A178V1H2
AXX17_At4g20860	A0A178V1H3
AXX17_At4g20860	A0A178V1H3
AXX17_At4g20450	A0A178V1H4
AXX17_At4g21910	A0A178V1H5
AT4G24510.1	A0A178V1H6
AXX17_At4g29680	A0A178V1H7
AXX17_At4g29680	A0A178V1H7
AXX17_At4g24980	A0A178V1H8
AXX17_At4g24980	A0A178V1H8
AT4G30662.1	A0A178V1I2
AXX17_At4g23830	A0A178V1I3
AXX17_At4g15600	A0A178V1I4
AT4G27590.1	A0A178V1I8
AXX17_At4g34110	A0A178V1I9
AT4G12480.1	A0A178V1J0
AXX17_At4g23710	A0A178V1J2
AXX17_At4g00650	A0A178V1J4
AT4G00335.1	A0A178V1J7
AT4G00335.2	A0A178V1J7
AT4G00335.3	A0A178V1J7
AXX17_At4g03490	A0A178V1J8
AXX17_At4g03490	A0A178V1J8
AXX17_At4g03490	A0A178V1J8
AT4G34400.1	A0A178V1J9
AT4G34400.2	A0A178V1J9
AT4G00080.1	A0A178V1K1
AXX17_At4g18280	A0A178V1K2
AXX17_At4g13430	A0A178V1K4
AXX17_At4g13430	A0A178V1K4
AT4G35220.1	A0A178V1K5
AXX17_At4g38450	A0A178V1K6
AXX17_At4g38450	A0A178V1K6
AXX17_At4g03600	A0A178V1K7
AXX17_At4g03600	A0A178V1K7
AT4G08870.1	A0A178V1K8
AT4G17550.1	A0A178V1L1
AT4G09650.1	A0A178V1L3
AXX17_At4g21200	A0A178V1L4
AXX17_At4g21200	A0A178V1L4
AXX17_At4g21200	A0A178V1L4
AT4G30160.1	A0A178V1L5
AT4G30160.3	A0A178V1L5
AT4G30160.4	A0A178V1L5
AXX17_At4g42660	A0A178V1L8
AXX17_At4g42660	A0A178V1L8
AXX17_At4g43690	A0A178V1M0
AT4G01560.1	A0A178V1M1
AXX17_At4g12700	A0A178V1M2
AXX17_At4g27590	A0A178V1M3
AXX17_At4g29300	A0A178V1M6
AXX17_At4g29300	A0A178V1M6
AXX17_At4g16330	A0A178V1M7
AT4G29120.1	A0A178V1M8
AXX17_At4g26700	A0A178V1M9
AXX17_At4g26700	A0A178V1M9
AT4G25790.1	A0A178V1N0
AXX17_At4g25000	A0A178V1N2
AT4G28030.1	A0A178V1N3
AXX17_At4g27790	A0A178V1N4
AXX17_At4g27790	A0A178V1N4
AXX17_At4g41210	A0A178V1N5
AXX17_At4g03470	A0A178V1N7
AXX17_At4g18190	A0A178V1N8
AXX17_At4g40700	A0A178V1N9
AXX17_At4g08200	A0A178V1P0
AT4G30800.1	A0A178V1P2
AXX17_At4g22170	A0A178V1P3
AXX17_At4g38010	A0A178V1P4
AXX17_At4g25690	A0A178V1P5
AXX17_At4g30690	A0A178V1P6
AXX17_At4g30690	A0A178V1P6
AXX17_At4g30460	A0A178V1P7
AXX17_At4g30460	A0A178V1P7
AT4G17616.1	A0A178V1P8
AXX17_At4g30080	A0A178V1P9
AXX17_At4g39650	A0A178V1Q0
AT4G32714.1	A0A178V1Q2
AXX17_At4g40770	A0A178V1Q3
AXX17_At4g40770	A0A178V1Q3
AXX17_At4g39050	A0A178V1Q4
AXX17_At4g15020	A0A178V1Q5
AXX17_At4g43450	A0A178V1Q6
AT4G31380.1	A0A178V1Q7
AXX17_At4g12920	A0A178V1Q8
AT4G00920.1	A0A178V1Q9
AXX17_At4g26530	A0A178V1R0
AXX17_At4g42100	A0A178V1R1
AT4G26480.1	A0A178V1R2
AT4G26480.3	A0A178V1R2
AXX17_At4g38830	A0A178V1R3
AT4G39890.1	A0A178V1R4
AXX17_At4g18070	A0A178V1R5
AXX17_At4g13460	A0A178V1R6
AXX17_At4g41000	A0A178V1R8
AXX17_At4g41000	A0A178V1R8
AXX17_At4g41000	A0A178V1R8
AXX17_At4g41000	A0A178V1R8
AT4G35985.1	A0A178V1R9
AT4G20960.1	A0A178V1S0
AXX17_At4g34630	A0A178V1S1
AXX17_At4g34630	A0A178V1S1
AXX17_At4g20120	A0A178V1S3
AXX17_At4g20120	A0A178V1S3
AXX17_At4g00270	A0A178V1S4
AXX17_At4g00270	A0A178V1S4
AXX17_At4g28330	A0A178V1S5
AXX17_At4g28330	A0A178V1S5
AXX17_At4g12110	A0A178V1S7
AXX17_At4g12110	A0A178V1S7
AXX17_At4g27210	A0A178V1S8
AT4G28260.1	A0A178V1S9
AT4G28260.2	A0A178V1S9
AT4G35300.1	A0A178V1T0
AT4G35300.10	A0A178V1T0
AT4G35300.11	A0A178V1T0
AT4G35300.4	A0A178V1T0
AT4G35300.6	A0A178V1T0
AT4G35300.7	A0A178V1T0
AT4G35300.8	A0A178V1T0
AXX17_At4g00220	A0A178V1T1
AXX17_At4g11150	A0A178V1T2
AT4G27620.3	A0A178V1T3
AXX17_At4g26560	A0A178V1T6
AXX17_At4g26560	A0A178V1T6
AXX17_At4g26560	A0A178V1T6
AXX17_At4g26560	A0A178V1T6
AT4G24175.1	A0A178V1T8
AT4G25210.1	A0A178V1T9
AXX17_At4g25150	A0A178V1U0
AT4G26990.1	A0A178V1U2
AXX17_At4g06610	A0A178V1U3
AXX17_At4g06610	A0A178V1U3
AT4G33380.1	A0A178V1U4
AXX17_At4g03350	A0A178V1U5
AT4G33470.1	A0A178V1U6
AXX17_At4g02180	A0A178V1U8
AXX17_At4g00340	A0A178V1U9
AXX17_At4g16400	A0A178V1V0
AT4G34090.1	A0A178V1V1
AT4G33640.2	A0A178V1V2
AT4G18030.1	A0A178V1V4
AT4G34760.1	A0A178V1V7
AXX17_At4g33680	A0A178V1V8
AXX17_At4g38100	A0A178V1W1
AXX17_At4g20320	A0A178V1W3
AXX17_At4g20320	A0A178V1W3
AT4G29430.1	A0A178V1W4
AT4G32930.1	A0A178V1W5
AXX17_At4g15440	A0A178V1W6
AXX17_At4g44470	A0A178V1W7
AXX17_At4g44470	A0A178V1W7
AT4G34180.1	A0A178V1W8
AT4G21745.1	A0A178V1W9
AT4G10265.1	A0A178V1X1
AXX17_At4g24830	A0A178V1X2
AXX17_At4g35970	A0A178V1X4
AXX17_At4g12090	A0A178V1X5
AT4G33540.3	A0A178V1X6
AXX17_At4g19130	A0A178V1X7
AXX17_At4g19130	A0A178V1X7
AXX17_At4g19130	A0A178V1X7
AXX17_At4g19130	A0A178V1X7
AT4G28050.1	A0A178V1Y2
AXX17_At4g39020	A0A178V1Y3
AXX17_At4g20280	A0A178V1Y5
AXX17_At4g19970	A0A178V1Y6
AXX17_At4g28290	A0A178V1Y7
AXX17_At4g04520	A0A178V1Y8
AXX17_At4g29560	A0A178V1Y9
AT4G24020.1	A0A178V1Z0
AXX17_At4g06390	A0A178V1Z1
AXX17_At4g17590	A0A178V1Z2
AT4G11360.1	A0A178V1Z4
AXX17_At4g37800	A0A178V1Z5
AXX17_At4g06050	A0A178V1Z6
AXX17_At4g06050	A0A178V1Z6
AXX17_At4g15780	A0A178V1Z7
AXX17_At4g02030	A0A178V1Z8
AXX17_At4g15600	A0A178V1Z9
AXX17_At4g03130	A0A178V200
AT4G17810.1	A0A178V201
AT4G27700.1	A0A178V203
AXX17_At4g17870	A0A178V204
AXX17_At4g00420	A0A178V205
AT4G33625.3	A0A178V207
AXX17_At4g00520	A0A178V208
AXX17_At4g41160	A0A178V209
AXX17_At4g09500	A0A178V210
AXX17_At4g09500	A0A178V210
AT4G34770.1	A0A178V211
AXX17_At4g06930	A0A178V212
AXX17_At4g06930	A0A178V212
AXX17_At4g02040	A0A178V214
AXX17_At4g16330	A0A178V215
AXX17_At4g45430	A0A178V216
AXX17_At4g03360	A0A178V217
AXX17_At4g03360	A0A178V217
AXX17_At4g03360	A0A178V217
AXX17_At4g05420	A0A178V218
AXX17_At4g05420	A0A178V218
AXX17_At4g06980	A0A178V219
AT4G24990.1	A0A178V221
AT4G24990.2	A0A178V221
AXX17_At4g37130	A0A178V224
AXX17_At4g29250	A0A178V226
AXX17_At4g17760	A0A178V227
AXX17_At4g17760	A0A178V227
AXX17_At4g36120	A0A178V228
AXX17_At4g21450	A0A178V230
AXX17_At4g21450	A0A178V230
AXX17_At4g12250	A0A178V231
AXX17_At4g27240	A0A178V233
AXX17_At4g32420	A0A178V234
AT4G34980.1	A0A178V235
AT4G37240.1	A0A178V236
AXX17_At4g33570	A0A178V239
AXX17_At4g26440	A0A178V242
AXX17_At4g38720	A0A178V243
AXX17_At4g15700	A0A178V244
AT4G23630.1	A0A178V247
AT4G23630.2	A0A178V247
AXX17_At4g23950	A0A178V248
AXX17_At4g26090	A0A178V249
AXX17_At4g04170	A0A178V250
AT4G01250.1	A0A178V251
AXX17_At4g30710	A0A178V252
AXX17_At4g30710	A0A178V252
AXX17_At4g03020	A0A178V254
AXX17_At4g01750	A0A178V255
AXX17_At4g01750	A0A178V255
AXX17_At4g23610	A0A178V257
AT4G19890.1	A0A178V258
AXX17_At4g40840	A0A178V259
AXX17_At4g42790	A0A178V261
AT4G22490.1	A0A178V262
AXX17_At4g00220	A0A178V263
AXX17_At4g22940	A0A178V264
AXX17_At4g22940	A0A178V264
AXX17_At4g22940	A0A178V264
AXX17_At4g22940	A0A178V264
AT4G38940.1	A0A178V265
AT4G13440.2	A0A178V266
AXX17_At4g42810	A0A178V267
AXX17_At4g42810	A0A178V267
AXX17_At4g42810	A0A178V267
AXX17_At4g42810	A0A178V267
AXX17_At4g39450	A0A178V268
AXX17_At4g39450	A0A178V268
AXX17_At4g10720	A0A178V271
AXX17_At4g23570	A0A178V272
AXX17_At4g13540	A0A178V273
AT4G36945.1	A0A178V274
AXX17_At4g05320	A0A178V275
AXX17_At4g05320	A0A178V275
AXX17_At4g05320	A0A178V275
AXX17_At4g30420	A0A178V277
AXX17_At4g30420	A0A178V277
AXX17_At4g30420	A0A178V277
AXX17_At4g09450	A0A178V278
AXX17_At4g09450	A0A178V278
AXX17_At4g42630	A0A178V279
AT4G01270.1	A0A178V281
AXX17_At4g26660	A0A178V283
AXX17_At4g26660	A0A178V283
AXX17_At4g22920	A0A178V284
AXX17_At4g01620	A0A178V285
AXX17_At4g01620	A0A178V285
AXX17_At4g42170	A0A178V286
AXX17_At4g04990	A0A178V288
AXX17_At4g27880	A0A178V292
AT4G27980.1	A0A178V295
AXX17_At4g27690	A0A178V298
AXX17_At4g27690	A0A178V298
AXX17_At4g42600	A0A178V2A0
AXX17_At4g41080	A0A178V2A2
AXX17_At4g41080	A0A178V2A2
AXX17_At4g08830	A0A178V2A3
AXX17_At4g22310	A0A178V2A4
AXX17_At4g38680	A0A178V2A5
AXX17_At4g38680	A0A178V2A5
AXX17_At4g22060	A0A178V2A6
AXX17_At4g35500	A0A178V2A9
AXX17_At4g35500	A0A178V2A9
AXX17_At4g35500	A0A178V2A9
AXX17_At4g26720	A0A178V2B0
AXX17_At4g26720	A0A178V2B0
AXX17_At4g44960	A0A178V2B1
AXX17_At4g38280	A0A178V2B2
AXX17_At4g23260	A0A178V2B4
AXX17_At4g05520	A0A178V2B5
AT4G38400.1	A0A178V2B6
AXX17_At4g25450	A0A178V2B8
AXX17_At4g28950	A0A178V2C0
AXX17_At4g28950	A0A178V2C0
AXX17_At4g31360	A0A178V2C1
AXX17_At4g02330	A0A178V2C2
AXX17_At4g25400	A0A178V2C3
AXX17_At4g17280	A0A178V2C4
AXX17_At4g15330	A0A178V2C7
AXX17_At4g05140	A0A178V2C8
AXX17_At4g19450	A0A178V2C9
AXX17_At4g16060	A0A178V2D0
AT4G36010.1	A0A178V2D1
AT4G36010.2	A0A178V2D1
AXX17_At4g00810	A0A178V2D3
AXX17_At4g14300	A0A178V2D5
AXX17_At4g01340	A0A178V2D6
AT4G14480.1	A0A178V2D7
AXX17_At4g14850	A0A178V2D8
AXX17_At4g29490	A0A178V2E0
AXX17_At4g10480	A0A178V2E1
AXX17_At4g10480	A0A178V2E1
AXX17_At4g14490	A0A178V2E2
AXX17_At4g12020	A0A178V2E5
AXX17_At4g22440	A0A178V2E8
AXX17_At4g22440	A0A178V2E8
AT4G23550.1	A0A178V2E9
AT4G17510.1	A0A178V2F1
AT4G35320.1	A0A178V2F2
AXX17_At4g43100	A0A178V2F3
AXX17_At4g23800	A0A178V2F4
AXX17_At4g12840	A0A178V2F5
AXX17_At4g23460	A0A178V2F6
AXX17_At4g23460	A0A178V2F6
AXX17_At4g23460	A0A178V2F6
AXX17_At4g23460	A0A178V2F6
AXX17_At4g23460	A0A178V2F6
AXX17_At4g18160	A0A178V2F7
AXX17_At4g18160	A0A178V2F7
AXX17_At4g09300	A0A178V2F8
AXX17_At4g22220	A0A178V2G0
AT4G25110.1	A0A178V2G1
AT4G32690.1	A0A178V2G3
AXX17_At4g29600	A0A178V2G6
AXX17_At4g33320	A0A178V2G8
AXX17_At4g33320	A0A178V2G8
AXX17_At4g33320	A0A178V2G8
AXX17_At4g40140	A0A178V2G9
AXX17_At4g42340	A0A178V2H1
AXX17_At4g35920	A0A178V2H4
AXX17_At4g11000	A0A178V2H5
AXX17_At4g11000	A0A178V2H5
AT4G31720.1	A0A178V2H6
AT4G31720.2	A0A178V2H6
AT4G31720.3	A0A178V2H6
AXX17_At4g02790	A0A178V2H7
AT4G31130.1	A0A178V2H8
AXX17_At4g13510	A0A178V2H9
AXX17_At4g15840	A0A178V2I0
AXX17_At4g01530	A0A178V2I1
AXX17_At4g01530	A0A178V2I1
AXX17_At4g42790	A0A178V2I2
AXX17_At4g39810	A0A178V2I9
AXX17_At4g14460	A0A178V2J0
AXX17_At4g23330	A0A178V2J1
AXX17_At4g17270	A0A178V2J2
AXX17_At4g32220	A0A178V2J4
AXX17_At4g17160	A0A178V2J6
AXX17_At4g00660	A0A178V2J8
AXX17_At4g00660	A0A178V2J8
AXX17_At4g16730	A0A178V2J9
AXX17_At4g16000	A0A178V2K0
AXX17_At4g16000	A0A178V2K0
AXX17_At4g16000	A0A178V2K0
AT4G00110.1	A0A178V2K1
AXX17_At4g27060	A0A178V2K2
AT4G04210.1	A0A178V2K4
AXX17_At4g23280	A0A178V2K5
AXX17_At4g13900	A0A178V2K7
AXX17_At4g10190	A0A178V2K8
AT4G15417.1	A0A178V2L0
AT4G27980.3	A0A178V2L1
AXX17_At4g21810	A0A178V2L2
AXX17_At4g22760	A0A178V2L3
AXX17_At4g00550	A0A178V2L4
AXX17_At4g25080	A0A178V2L5
AXX17_At4g25080	A0A178V2L5
AXX17_At4g38650	A0A178V2L6
AXX17_At4g38650	A0A178V2L6
AXX17_At4g21050	A0A178V2L7
AT4G30140.1	A0A178V2L8
AXX17_At4g02400	A0A178V2L9
AXX17_At4g23430	A0A178V2M0
AXX17_At4g23430	A0A178V2M0
AT4G29285.1	A0A178V2M1
AXX17_At4g00990	A0A178V2M4
AXX17_At4g00990	A0A178V2M4
AXX17_At4g00990	A0A178V2M4
AXX17_At4g00990	A0A178V2M4
AXX17_At4g00990	A0A178V2M4
AXX17_At4g00990	A0A178V2M4
AT4G13350.1	A0A178V2M7
AT4G13350.2	A0A178V2M7
AXX17_At4g13150	A0A178V2M8
AT4G10090.1	A0A178V2M9
AXX17_At4g05520	A0A178V2N0
AXX17_At4g32740	A0A178V2N1
AXX17_At4g32740	A0A178V2N1
AT4G03540.1	A0A178V2N5
AXX17_At4g36170	A0A178V2N6
AXX17_At4g24920	A0A178V2N7
AXX17_At4g24920	A0A178V2N7
AXX17_At4g04330	A0A178V2N8
AT4G33690.1	A0A178V2N9
AT4G00590.1	A0A178V2P0
AXX17_At4g19000	A0A178V2P2
AT4G14540.1	A0A178V2P3
AXX17_At4g11220	A0A178V2P4
AXX17_At4g42580	A0A178V2P5
AXX17_At4g26280	A0A178V2P6
AXX17_At4g34710	A0A178V2P7
AXX17_At4g12460	A0A178V2P8
AXX17_At4g12460	A0A178V2P8
AXX17_At4g12460	A0A178V2P8
AXX17_At4g45570	A0A178V2P9
AT4G28310.1	A0A178V2Q0
AXX17_At4g28530	A0A178V2Q1
AXX17_At4g28530	A0A178V2Q1
AXX17_At4g20010	A0A178V2Q2
AXX17_At4g34630	A0A178V2Q4
AXX17_At4g34630	A0A178V2Q4
AT4G24120.1	A0A178V2Q5
AXX17_At4g34370	A0A178V2Q6
AXX17_At4g02120	A0A178V2Q7
AXX17_At4g40810	A0A178V2Q8
AXX17_At4g38600	A0A178V2R1
AT4G22755.1	A0A178V2R2
AXX17_At4g04880	A0A178V2R4
AXX17_At4g04880	A0A178V2R4
AXX17_At4g25400	A0A178V2R5
AXX17_At4g27610	A0A178V2R7
AXX17_At4g27610	A0A178V2R7
AT4G08320.2	A0A178V2R9
AT4G27380.1	A0A178V2S0
AT4G32105.1	A0A178V2S2
AXX17_At4g15620	A0A178V2S3
AXX17_At4g15620	A0A178V2S3
AXX17_At4g40660	A0A178V2S4
AT4G35165.1	A0A178V2S9
AT4G38810.2	A0A178V2T0
AT4G36260.1	A0A178V2T1
AT4G15700.1	A0A178V2T2
AXX17_At4g40380	A0A178V2T5
AXX17_At4g43680	A0A178V2T6
AXX17_At4g18650	A0A178V2T7
AT4G27435.1	A0A178V2T8
AXX17_At4g00070	A0A178V2U0
AXX17_At4g41020	A0A178V2U1
AT4G13095.1	A0A178V2U3
AXX17_At4g19210	A0A178V2U4
AXX17_At4g11280	A0A178V2U6
AXX17_At4g30020	A0A178V2U7
AXX17_At4g43020	A0A178V2U9
AXX17_At4g19690	A0A178V2V0
AXX17_At4g29870	A0A178V2V1
AXX17_At4g29490	A0A178V2V2
AXX17_At4g26880	A0A178V2V3
AXX17_At4g32180	A0A178V2V5
AT4G21480.1	A0A178V2V7
AT4G28280.2	A0A178V2V8
AXX17_At4g10940	A0A178V2W0
AT4G00525.1	A0A178V2W1
AT4G21215.2	A0A178V2W2
AT4G31080.1	A0A178V2W4
AXX17_At4g39040	A0A178V2W5
AXX17_At4g42680	A0A178V2W6
AT4G30640.1	A0A178V2W7
AXX17_At4g32050	A0A178V2W9
AXX17_At4g34940	A0A178V2X1
AXX17_At4g25240	A0A178V2X4
AT4G18590.1	A0A178V2X5
AXX17_At4g15110	A0A178V2X6
AT4G35760.1	A0A178V2Y0
AXX17_At4g02790	A0A178V2Y1
AXX17_At4g23370	A0A178V2Y3
AXX17_At4g21050	A0A178V2Y4
AXX17_At4g18860	A0A178V2Y5
AXX17_At4g18440	A0A178V2Y6
AXX17_At4g03760	A0A178V2Y7
AXX17_At4g28790	A0A178V2Y8
AT4G12690.1	A0A178V2Y9
AT4G12690.2	A0A178V2Y9
AXX17_At4g41950	A0A178V2Z0
AXX17_At4g00450	A0A178V2Z1
AT4G15110.1	A0A178V2Z2
AT4G36680.1	A0A178V2Z3
AXX17_At4g29470	A0A178V2Z4
AXX17_At4g29470	A0A178V2Z4
AXX17_At4g32080	A0A178V2Z5
AXX17_At4g32080	A0A178V2Z5
AXX17_At4g20460	A0A178V2Z6
AT4G34150.1	A0A178V2Z8
AT4G01500.1	A0A178V2Z9
AT4G21580.1	A0A178V300
AXX17_At4g01060	A0A178V302
AXX17_At4g45180	A0A178V303
AT4G26880.1	A0A178V306
AXX17_At4g40010	A0A178V308
AXX17_At4g10640	A0A178V309
AXX17_At4g20770	A0A178V310
AT4G03153.1	A0A178V312
AXX17_At4g29820	A0A178V313
AXX17_At4g22040	A0A178V314
AXX17_At4g16080	A0A178V316
AXX17_At4g20630	A0A178V317
AXX17_At4g22850	A0A178V318
AT4G23750.1	A0A178V319
AT4G23750.2	A0A178V319
AXX17_At4g18970	A0A178V320
AXX17_At4g21290	A0A178V321
AXX17_At4g21290	A0A178V321
AT4G16480.1	A0A178V322
AT4G16480.2	A0A178V322
AT4G16480.3	A0A178V322
AT4G35060.1	A0A178V323
AXX17_At4g18600	A0A178V324
AT4G21340.1	A0A178V325
AT4G39330.1	A0A178V326
AXX17_At4g09270	A0A178V327
AXX17_At4g27240	A0A178V328
AXX17_At4g42550	A0A178V329
AXX17_At4g21220	A0A178V330
AXX17_At4g21220	A0A178V330
AXX17_At4g35180	A0A178V332
AT4G26840.1	A0A178V333
AT4G30410.1	A0A178V334
AT4G30410.2	A0A178V334
AT4G37460.1	A0A178V335
AXX17_At4g16290	A0A178V336
AXX17_At4g16290	A0A178V336
AXX17_At4g17700	A0A178V337
AXX17_At4g01400	A0A178V338
AXX17_At4g01400	A0A178V338
AXX17_At4g01400	A0A178V338
AXX17_At4g37590	A0A178V339
AXX17_At4g37590	A0A178V339
AXX17_At4g37590	A0A178V339
AXX17_At4g00020	A0A178V340
AT4G17150.1	A0A178V342
AXX17_At4g12890	A0A178V343
AXX17_At4g12890	A0A178V343
AT4G24280.1	A0A178V345
AT4G37290.1	A0A178V346
AXX17_At4g22490	A0A178V347
AXX17_At4g07440	A0A178V348
AXX17_At4g14060	A0A178V350
AXX17_At4g14060	A0A178V350
AXX17_At4g14060	A0A178V350
AXX17_At4g45390	A0A178V351
AXX17_At4g44620	A0A178V352
AXX17_At4g21570	A0A178V353
AXX17_At4g05750	A0A178V354
AXX17_At4g00650	A0A178V357
AXX17_At4g00650	A0A178V357
AXX17_At4g00650	A0A178V357
AT4G34390.1	A0A178V358
AXX17_At4g36690	A0A178V360
AXX17_At4g36690	A0A178V360
AT4G30550.1	A0A178V361
AT4G02200.1	A0A178V362
AXX17_At4g18280	A0A178V363
AT4G00180.1	A0A178V364
AXX17_At4g42870	A0A178V365
AXX17_At4g42870	A0A178V365
AXX17_At4g36700	A0A178V366
AXX17_At4g36700	A0A178V366
AXX17_At4g42250	A0A178V368
AXX17_At4g42250	A0A178V368
AXX17_At4g44810	A0A178V369
AXX17_At4g23500	A0A178V370
AXX17_At4g01260	A0A178V371
AXX17_At4g37020	A0A178V373
AXX17_At4g20090	A0A178V374
AXX17_At4g18440	A0A178V375
AT4G14450.1	A0A178V376
AXX17_At4g41240	A0A178V377
AT4G38840.1	A0A178V379
AXX17_At4g10380	A0A178V380
AXX17_At4g43450	A0A178V381
AXX17_At4g43450	A0A178V381
AXX17_At4g34250	A0A178V382
AXX17_At4g43610	A0A178V384
AXX17_At4g43640	A0A178V386
AT4G37150.1	A0A178V387
AXX17_At4g41650	A0A178V388
AXX17_At4g20120	A0A178V390
AXX17_At4g26010	A0A178V391
AXX17_At4g22130	A0A178V393
AXX17_At4g44860	A0A178V394
AXX17_At4g25850	A0A178V395
AXX17_At4g25850	A0A178V395
AXX17_At4g14260	A0A178V396
AXX17_At4g14260	A0A178V396
AXX17_At4g11150	A0A178V398
AT4G18800.1	A0A178V3A0
AXX17_At4g16160	A0A178V3A1
AXX17_At4g36490	A0A178V3A3
AXX17_At4g34890	A0A178V3A5
AXX17_At4g34890	A0A178V3A5
AXX17_At4g17780	A0A178V3A7
AXX17_At4g25880	A0A178V3A9
AT4G34230.1	A0A178V3B0
AXX17_At4g04300	A0A178V3B1
AT4G26410.1	A0A178V3B3
AT4G05220.1	A0A178V3B5
AXX17_At4g36230	A0A178V3B8
AXX17_At4g34580	A0A178V3B9
AT4G27460.1	A0A178V3C0
AXX17_At4g19610	A0A178V3C1
AT4G05340.1	A0A178V3C3
AXX17_At4g22070	A0A178V3C4
AT4G25080.1	A0A178V3C5
AT4G25080.2	A0A178V3C5
AT4G25080.3	A0A178V3C5
AT4G25080.5	A0A178V3C5
AXX17_At4g06460	A0A178V3C6
AXX17_At4g06460	A0A178V3C6
AXX17_At4g06460	A0A178V3C6
AXX17_At4g06460	A0A178V3C6
AXX17_At4g06460	A0A178V3C6
AXX17_At4g06460	A0A178V3C6
AT4G02340.1	A0A178V3C7
AT4G34280.1	A0A178V3C8
AXX17_At4g03420	A0A178V3D2
AXX17_At4g13050	A0A178V3D4
AXX17_At4g05280	A0A178V3D6
AXX17_At4g05280	A0A178V3D6
AXX17_At4g37850	A0A178V3D8
AT4G35930.1	A0A178V3E0
AXX17_At4g43690	A0A178V3E1
AXX17_At4g24090	A0A178V3E3
AXX17_At4g36290	A0A178V3E4
AT4G18422.1	A0A178V3E5
AXX17_At4g42120	A0A178V3E6
AXX17_At4g23450	A0A178V3E7
AXX17_At4g37960	A0A178V3E8
AXX17_At4g37960	A0A178V3E8
AT4G22830.1	A0A178V3E9
AT4G29150.1	A0A178V3F0
AT4G22950.1	A0A178V3F3
AT4G22950.3	A0A178V3F3
AT4G39560.1	A0A178V3F4
AT4G39560.2	A0A178V3F4
AXX17_At4g27810	A0A178V3F5
AT4G16030.1	A0A178V3F6
AXX17_At4g32610	A0A178V3F7
AXX17_At4g32610	A0A178V3F7
AXX17_At4g06760	A0A178V3F8
AXX17_At4g14970	A0A178V3F9
AXX17_At4g14970	A0A178V3F9
AXX17_At4g14970	A0A178V3F9
AXX17_At4g14970	A0A178V3F9
AXX17_At4g14970	A0A178V3F9
AXX17_At4g14970	A0A178V3F9
AXX17_At4g14970	A0A178V3F9
AXX17_At4g14970	A0A178V3F9
AXX17_At4g14970	A0A178V3F9
AXX17_At4g26640	A0A178V3G0
AXX17_At4g26640	A0A178V3G0
AT4G03620.2	A0A178V3G1
AXX17_At4g11730	A0A178V3G2
AXX17_At4g25550	A0A178V3G3
AT4G27020.1	A0A178V3G5
AXX17_At4g03070	A0A178V3G7
AXX17_At4g23030	A0A178V3G8
AXX17_At4g32120	A0A178V3H0
AXX17_At4g25520	A0A178V3H2
AXX17_At4g25520	A0A178V3H2
AT4G26555.1	A0A178V3H3
AXX17_At4g15490	A0A178V3H4
AXX17_At4g43390	A0A178V3H5
AXX17_At4g43390	A0A178V3H5
AXX17_At4g01450	A0A178V3H7
AT4G16008.1	A0A178V3H8
AXX17_At4g19790	A0A178V3H9
AT4G33440.1	A0A178V3I0
AXX17_At4g22620	A0A178V3I1
AT4G10160.1	A0A178V3I2
AXX17_At4g11350	A0A178V3I3
AXX17_At4g30560	A0A178V3I5
AT4G14680.1	A0A178V3I6
AXX17_At4g43450	A0A178V3I7
AXX17_At4g22160	A0A178V3I8
AXX17_At4g29130	A0A178V3I9
AXX17_At4g38150	A0A178V3J0
AXX17_At4g19830	A0A178V3J2
AT4G23496.1	A0A178V3J3
AXX17_At4g22530	A0A178V3J4
AXX17_At4g10470	A0A178V3J5
AXX17_At4g14590	A0A178V3J6
AT4G13010.1	A0A178V3J9
AXX17_At4g04290	A0A178V3K0
AXX17_At4g21960	A0A178V3K1
AXX17_At4g22670	A0A178V3K2
AXX17_At4g05510	A0A178V3K3
AXX17_At4g38740	A0A178V3K4
AXX17_At4g42910	A0A178V3K6
AXX17_At4g09480	A0A178V3K8
AXX17_At4g39290	A0A178V3K9
AXX17_At4g31800	A0A178V3L0
AXX17_At4g31800	A0A178V3L0
AXX17_At4g41140	A0A178V3L1
AXX17_At4g43400	A0A178V3L3
AXX17_At4g29900	A0A178V3L5
AXX17_At4g28050	A0A178V3L6
AXX17_At4g40400	A0A178V3L7
AXX17_At4g40400	A0A178V3L7
AXX17_At4g40400	A0A178V3L7
AXX17_At4g11150	A0A178V3L8
AT4G00905.1	A0A178V3L9
AT4G25560.1	A0A178V3M0
AXX17_At4g04710	A0A178V3M1
AXX17_At4g03750	A0A178V3M4
AXX17_At4g03750	A0A178V3M4
AT4G03180.1	A0A178V3M5
AXX17_At4g21690	A0A178V3M6
AXX17_At4g23580	A0A178V3M8
AT4G06634.1	A0A178V3M9
AXX17_At4g30810	A0A178V3N1
AXX17_At4g30810	A0A178V3N1
AXX17_At4g30810	A0A178V3N1
AT4G11220.1	A0A178V3N3
AT4G27780.1	A0A178V3N7
AXX17_At4g06280	A0A178V3N8
